timestamp,episode,episode_reward
2025-09-21T16:24:48.060437,20,-3.900000000000011
2025-09-21T16:24:53.512346,21,-2.800000000000021
2025-09-21T16:24:58.603582,22,3.6000000000000183
2025-09-21T16:25:03.050808,23,5.9000000000000306
2025-09-21T16:25:07.398154,24,-4.199999999999894
2025-09-21T16:25:10.952831,25,10.300000000000079
2025-09-21T16:25:14.878484,26,-7.59999999999993
2025-09-21T16:25:18.743395,27,3.999999999999987
2025-09-21T16:25:23.019320,28,2.2
2025-09-21T16:25:27.829443,29,-2.400000000000018
2025-09-21T16:25:31.239206,30,1.0999999999999917
2025-09-21T16:25:34.683216,31,-1.6999999999999924
2025-09-21T16:25:37.910101,32,7.500000000000032
2025-09-21T16:25:40.944432,33,5.100000000000021
2025-09-21T16:25:44.322254,34,-1.8999999999999917
2025-09-21T16:25:48.313239,35,0.4000000000000219
2025-09-21T16:25:52.520842,36,13.400000000000071
2025-09-21T16:25:56.584865,37,6.300000000000093
2025-09-21T16:26:00.740432,38,12.80000000000004
2025-09-21T16:26:04.765187,39,7.9000000000000625
2025-09-21T16:26:08.882247,40,9.400000000000043
2025-09-21T16:26:12.706281,41,4.100000000000035
2025-09-21T16:26:17.195442,42,5.6000000000001044
2025-09-21T16:26:21.688470,43,14.600000000000087
2025-09-21T16:26:25.471215,44,6.6000000000000085
2025-09-21T16:26:29.506865,45,5.600000000000085
2025-09-21T16:26:33.187011,46,10.400000000000121
2025-09-21T16:26:38.059275,47,10.60000000000011
2025-09-21T16:26:42.157572,48,11.00000000000007
2025-09-21T16:26:45.982624,49,8.00000000000009
2025-09-21T16:26:49.805319,50,2.6000000000000236
2025-09-21T16:26:56.320287,final_accuracy,0.5573
2025-09-21T16:27:34.560902,1,193.60000000000002
2025-09-21T16:27:38.353252,2,193.60000000000008
2025-09-21T16:27:42.525495,3,195.40000000000006
2025-09-21T16:27:46.381107,4,182.20000000000005
2025-09-21T16:27:50.103307,5,218.6000000000001
2025-09-21T16:27:53.915236,6,201.9000000000001
2025-09-21T16:27:58.050201,7,221.80000000000013
2025-09-21T16:28:02.088174,8,198.50000000000006
2025-09-21T16:28:06.257558,9,186.90000000000006
2025-09-21T16:28:11.332174,10,225.9000000000001
2025-09-21T16:28:15.054307,11,208.00000000000009
2025-09-21T16:28:18.722098,12,218.10000000000005
2025-09-21T16:28:23.111434,13,232.9000000000001
2025-09-21T16:28:26.726112,14,223.00000000000009
2025-09-21T16:28:31.382964,15,226.20000000000007
2025-09-21T16:28:35.019366,16,210.60000000000005
2025-09-21T16:28:39.556542,17,206.8000000000001
2025-09-21T16:28:44.094345,18,231.50000000000009
2025-09-21T16:28:48.460190,19,213.00000000000009
2025-09-21T16:28:53.311669,20,217.8000000000001
2025-09-21T16:28:57.005173,21,215.9000000000001
2025-09-21T16:29:01.681123,22,197.70000000000007
2025-09-21T16:29:05.245546,23,222.40000000000006
